time,Year,n_T,n_P1,n_P2,i_ILI,Week,season,pop,temp,ah,h3_inc,rhino_inc
26,2017,4121,152,105,0.00409999999999999,18,s16-17,7391700,0.371155214425726,0.47368853921617565,0,0
27,2017,4157,149,116,0.0055,19,s16-17,7391700,0.47688593027704435,0.5575445066537107,0,0
28,2017,4366,152,102,0.0058,20,s16-17,7391700,0.3015955329445956,0.3079280497659316,0,0
29,2017,4412,157,129,0.0053,21,s16-17,7391700,0.3544608908702548,0.3794015196428169,0,0
30,2017,4691,127,136,0.0076,22,s16-17,7391700,0.9276326662747684,0.8294836001173752,0,0
31,2017,4456,167,173,0.0057,23,s16-17,7391700,1.1724827450883466,1.1829267308100342,0,0
32,2017,4429,170,178,0.0063,24,s16-17,7391700,0.8664201465713739,1.1672776033600945,0,0
33,2017,4441,142,151,0.0079,25,s16-17,7391700,0.8191195631642051,1.17638911249144,0,0
34,2017,4883,114,138,0.0106,26,s16-17,7391700,1.1390940979774042,1.0109677072326553,0,0
35,2017,6153,148,234,0.0093,27,s16-17,7391700,0.7885133033125076,1.1612313232230838,0,0
36,2017,6753,105,171,0.01419999999999999,28,s16-17,7391700,1.1029230636072165,1.0858510014994127,0,0
37,2017,6839,120,217,0.01219999999999999,29,s16-17,7391700,0.8469434357566571,1.096798825238093,0,0
38,2017,6791,137,254,0.01,30,s16-17,7391700,1.1390940979774042,1.0607392328633138,0,0
39,2017,5742,121,301,0.0073,31,s16-17,7391700,1.189177068643818,1.3783272072866954,0,0
40,2017,5099,93,324,0.0066,32,s16-17,7391700,1.2476072010879675,1.286679476179947,0,0
41,2017,4590,110,401,0.0047,33,s16-17,7391700,1.214218553977025,0.9422554872083048,0,0
42,2017,4214,106,430,0.0038,34,s16-17,7391700,1.1669179705698562,1.0739305634335978,0,0
43,2017,3835,102,463,0.0029,35,s16-17,7391700,0.8079900141272243,0.9899729123737872,0,0
44,2017,3774,76,394,0.0033,36,s16-17,7391700,0.8692025338306187,1.1929492656651983,0,0
45,2017,4046,42,271,0.0053,37,s16-17,7391700,1.1557884215328755,0.8122335302028619,0,0
46,2017,4123,45,334,0.0035,38,s16-17,7391700,1.094575901829481,0.962844363347494,0,0
47,2017,3898,37,297,0.0035,39,s16-17,7391700,1.1363117107181593,1.1240572605684898,0,0
48,2017,3560,23,150,0.0056,40,s16-17,7391700,1.1029230636072165,0.9481186824328371,0,0
49,2017,3838,18,170,0.0046,41,s16-17,7391700,0.9304150535340132,0.29433233634381123,0,0
50,2017,3653,14,197,0.003,42,s16-17,7391700,0.15134662094535412,-0.06775076518418124,0,0
51,2017,3348,6,133,0.0033,43,s16-17,7391700,0.09291648850120524,-0.8345612651353,0,0
52,2017,4171,6,132,0.0029,44,s16-17,7391700,-0.06011481075728185,-1.192258964725798,0,0
53,2017,3891,3,57,0.0047,45,s16-17,7391700,0.00666248346460366,-0.28614899351163997,0,0
1,2017,3780,9,5,0.0035,46,s17-18,7451000,-0.06846197253501711,0.07363801952841607,0,0
2,2017,3667,30,7,0.0037,47,s17-18,7451000,-1.178634488973856,-1.271060029088134,0,0
3,2017,3792,36,18,0.0059,48,s17-18,7451000,-0.49138483594028903,-0.614833471769868,0,0
4,2017,3882,112,29,0.0034,49,s17-18,7451000,-1.1007276457149904,-1.4510244566609112,0,0
5,2017,4094,223,52,0.0035,50,s17-18,7451000,-1.1090748074927257,-1.350989857428361,0,0
6,2017,4085,314,54,0.0039,51,s17-18,7451000,-1.7045056809712011,-2.089517970198463,0,0
7,2017,4518,375,67,0.0049,52,s17-18,7451000,-0.9866497680859369,-1.3920216309398297,0,0
8,2018,4692,548,102,0.00509999999999999,1,s17-18,7451000,-1.0923804839372544,-1.0040596242015771,0,0
9,2018,5105,818,104,0.0066,2,s17-18,7451000,-2.0968222845247757,-1.813355025765381,0,0
10,2018,7176,841,98,0.0124,3,s17-18,7451000,-1.1563753908998944,-0.9177365264210784,0,0
11,2018,7562,1727,160,0.00969999999999999,4,s17-18,7451000,-1.1285515183074424,-0.9456445841622978,0,0
12,2018,7399,1634,167,0.0119,5,s17-18,7451000,-2.823025359187776,-2.030659762849955,0,0
13,2018,8350,2456,226,0.0089,6,s17-18,7451000,-2.1580348042281705,-2.060931396900253,0,0
14,2018,6322,1785,165,0.0073,7,s17-18,7451000,-1.287147592084419,-1.430914014545832,0,0
15,2018,9638,1754,208,0.0081,8,s17-18,7451000,-1.131333905566688,-0.8113266651815632,0,0
16,2018,7363,1026,142,0.0076,9,s17-18,7451000,-0.6305041989025497,-0.46149064395971906,0,0
17,2018,6375,719,121,0.0068,10,s17-18,7451000,-1.003344091641408,-0.8494840264363271,0,0
18,2018,5655,691,151,0.0046,11,s17-18,7451000,-0.6416337479395305,-0.5739951086939432,0,0
19,2018,5426,521,138,0.0044,12,s17-18,7451000,-0.6917167186059442,-0.9118419733810093,0,0
20,2018,3988,251,87,0.0042,13,s17-18,7451000,-0.21871088453425863,-0.5802598468190747,0,0
21,2018,5831,316,142,0.0034,14,s17-18,7451000,-0.2994001150523698,-0.7528766255447239,0,0
22,2018,4503,189,91,0.0036,15,s17-18,7451000,0.02892158153856526,-0.10299356116290366,0,0
23,2018,4308,186,131,0.0024,16,s17-18,7451000,-0.44964902705161136,-0.32728588368007094,0,0
24,2018,4348,80,74,0.0049,17,s17-18,7451000,0.1569113954638445,0.2600236223265182,0,0
25,2018,4334,81,73,0.0042,18,s17-18,7451000,0.49079786657327,0.5439208877906476,0,0
26,2018,4205,81,111,0.0034,19,s17-18,7451000,0.371155214425726,0.6328859223045764,0,0
27,2018,4329,69,86,0.00409999999999999,20,s17-18,7451000,0.9888451859781628,0.8197766942841795,0,0
28,2018,4229,63,98,0.0039,21,s17-18,7451000,1.2114361667177795,0.7884732615422849,0,0
29,2018,4201,94,146,0.003,22,s17-18,7451000,1.2587367501249482,0.8941352670356283,0,0
30,2018,4004,64,129,0.0033,23,s17-18,7451000,0.7801661415347723,1.1750164548852673,0,0
31,2018,4102,67,128,0.0033,24,s17-18,7451000,0.8191195631642051,0.6360409237334818,0,0
32,2018,3927,68,114,0.004,25,s17-18,7451000,0.9610213133857108,1.049924060822493,0,0
33,2018,3985,114,165,0.0025,26,s17-18,7451000,1.030580994866841,1.0735836242811505,0,0
34,2018,3835,52,109,0.004,27,s17-18,7451000,1.1474412597551402,1.1899240424246933,0,0
35,2018,3848,52,157,0.0037,28,s17-18,7451000,0.9276326662747684,1.0267727016934558,0,0
36,2018,4238,73,173,0.0035,29,s17-18,7451000,0.8970264064230707,1.0135415381213866,0,0
37,2018,4081,100,244,0.0026,30,s17-18,7451000,1.005539509533634,1.102647648603511,0,0
38,2018,4077,152,469,0.0014,31,s17-18,7451000,1.1724827450883466,1.0663161793624476,0,0
39,2018,4183,71,223,0.0031,32,s17-18,7451000,1.030580994866841,1.090753820482747,0,0
40,2018,4149,74,243,0.0028,33,s17-18,7451000,0.7746013670162819,1.2268123752733926,0,0
41,2018,4190,87,256,0.0031,34,s17-18,7451000,0.9276326662747684,1.2371073516728373,0,0
42,2018,4245,72,259,0.0032,35,s17-18,7451000,0.6466115530910019,1.0611669207574077,0,0
43,2018,4207,75,191,0.0037,36,s17-18,7451000,0.8942440191638259,1.0217835815830405,0,0
44,2018,4321,49,114,0.0055,37,s17-18,7451000,0.8831144701268451,0.5278840212109804,0,0
45,2018,3991,65,159,0.0033,38,s17-18,7451000,0.8052076268679788,0.8498596746349706,0,0
46,2018,4083,54,165,0.0037,39,s17-18,7451000,0.6521763276094924,0.4157517778318944,0,0
47,2018,4200,54,178,0.0032,40,s17-18,7451000,0.5102745773879868,-0.6573940827053715,0,0
48,2018,4299,41,194,0.0028,41,s17-18,7451000,0.1986472043525229,-0.10726743782017198,0,0
49,2018,4006,33,175,0.0024,42,s17-18,7451000,0.01779203250158446,0.1353296927134233,0,0
50,2018,4256,21,87,0.00409999999999999,43,s17-18,7451000,0.2376006259819564,-0.02176606039746511,0,0
51,2018,4449,20,98,0.0034,44,s17-18,7451000,-0.06011481075728116,-1.331241155462832,0,0
52,2018,4562,13,70,0.0034,45,s17-18,7451000,0.11239319931592198,-0.0670356097922626,0,0
1,2018,4513,62,31,0.0045,46,s18-19,7507400,0.03170396879781012,-0.00899937618767485,0,0
2,2018,4522,94,35,0.0048,47,s18-19,7507400,-0.32165921312633144,-0.5085287124461542,0,0
3,2018,4585,179,70,0.00409999999999999,48,s18-19,7507400,-0.6221570371248145,-0.5620585116224408,0,0
4,2018,5265,262,60,0.006,49,s18-19,7507400,-0.44408425253312095,-0.28154547343101505,0,0
5,2018,4934,484,101,0.0052,50,s18-19,7507400,-1.7490238771191244,-1.5124283406579475,0,0
6,2018,5673,920,152,0.0046,51,s18-19,7507400,-0.7223229784576417,-0.8425421769737267,0,0
7,2018,5541,934,158,0.006,52,s18-19,7507400,-1.2565413322327224,-0.9652846260916524,0,0
8,2019,6055,1110,160,0.0074,1,s18-19,7507400,-2.0050035049696837,-1.4346119604276366,0,0
9,2019,7326,1113,138,0.0114,2,s18-19,7507400,-1.0367327387523504,-0.7073611755683358,0,0
